N,P,K,temperature,humidity,ph,rainfall,label,rainfall_log,N_P_ratio,N_K_ratio,P_K_ratio,total_nutrients,climate_index,temp_humidity,rain_temp
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,5.317803944886398,2.0930232558139537,2.0454545454545454,0.9545454545454546,175,8.395772090254672,1712.1962830390814,4237.241985507428
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,5.427833685666821,1.4406779661016949,2.0238095238095237,1.380952380952381,184,7.680883822850845,1748.5957343980754,4934.3956937930625
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,5.5795949021674325,1.0714285714285714,1.3333333333333333,1.2222222222222223,159,7.147170399339135,1893.7446273298856,6072.354750974686
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,5.496610833093782,2.0555555555555554,1.8048780487804879,0.8536585365853658,149,8.707651027428467,2123.4829079544807,6433.734529941895
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,5.574877849634868,1.813953488372093,1.813953488372093,0.9767441860465116,162,6.229094961758782,1642.720357036975,5288.545992510466
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,5.529647316872267,1.8157894736842106,1.6046511627906976,0.8604651162790697,148,7.6267173343327395,1922.352236179895,5788.838416787989
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,5.606995693345592,1.2321428571428572,1.7692307692307692,1.4102564102564104,162,6.89119994101579,1876.6450619256132,6161.472294769717
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,5.492955243874424,1.7407407407407407,2.292682926829268,1.2926829268292683,187,6.9180392924722165,1680.9050273750024,4906.690686838111
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,5.444347604221249,1.6181818181818182,2.282051282051282,1.3846153846153846,181,8.848445453236625,2047.9393937180864,5649.592417870608
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,5.403619261587708,1.152542372881356,1.7435897435897436,1.4871794871794872,164,8.678135413463787,1928.3614912692885,5137.356580850822
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,5.582047401351424,1.6851851851851851,2.2195121951219514,1.2926829268292683,184,8.131254808413455,2159.782186434238,7019.500867426213
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,5.525784492130141,1.9148936170212767,2.0930232558139537,1.069767441860465,178,7.778706844885709,1953.1028678403572,5996.741399510344
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,5.654019435847669,1.3220338983050848,1.7333333333333334,1.288888888888889,180,7.594796917413729,2167.831921462657,7623.123462356992
93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,rice,5.22723663252792,1.631578947368421,2.5135135135135136,1.5135135135135136,185,10.57881670997442,1970.5938254448881,4449.430887788381
94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,rice,5.349898730739497,1.8431372549019607,2.473684210526316,1.3157894736842106,181,9.831123186625115,2070.306451433026,5379.22818416047
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,5.447109434769835,1.2244897959183674,1.5,1.2,147,8.401435508147694,1949.8583733044302,5611.260135963812
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,5.6263802214403364,2.1794871794871793,2.0238095238095237,0.9047619047619048,164,6.436623607283442,1787.1623104460289,5972.189374931609
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,rice,5.333979763608477,2.5277777777777777,2.275,0.875,165,9.232137180139777,1913.4636966543974,4907.762058199851
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,5.418564106568684,1.9743589743589745,2.081081081081081,1.027027027027027,151,7.773823529299301,1753.4248975287219,4909.952122204766
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,5.677776093933611,2.4444444444444446,2.1463414634146343,0.8536585365853658,163,6.74292707568391,1970.9485608373948,6868.658228536399
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,5.228417690466619,1.934782608695652,2.4054054054054053,1.2162162162162162,170,9.201881709932387,1716.1276875876856,3955.7413289749356
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,5.448392536900143,1.853658536585366,1.7272727272727273,0.9090909090909091,159,8.998092627389362,2091.0156032199475,5821.040596752155
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,5.367638613913727,1.1166666666666667,1.5952380952380953,1.4047619047619047,167,8.290816135708397,1777.1869471700752,4682.668536506763
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,5.455780760132206,1.9761904761904763,1.8863636363636365,0.9318181818181818,167,7.434999915438252,1740.5898493994537,4907.505636953148
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,5.416358663963092,2.0416666666666665,2.5789473684210527,1.236842105263158,182,8.48670035489553,1910.0007963239996,5261.739005255404
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,5.552974648761646,1.2222222222222223,1.5714285714285714,1.2619047619047619,160,7.8261911908898565,2019.1877437416465,6444.535754256983
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,5.6071196306473405,1.6166666666666667,2.2045454545454546,1.3409090909090908,199,8.133906754219234,2215.3395675442175,7152.815396804195
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,5.5655291037813095,1.9019607843137254,2.3095238095238093,1.1904761904761905,188,7.562123911936146,1975.7062241152603,6384.060032717744
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,5.485133244981398,1.2,1.3333333333333333,1.0888888888888888,153,7.281803635878213,1755.504973473851,4987.866933670837
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,5.293199902134883,1.6153846153846154,2.3333333333333335,1.4166666666666667,170,9.03859567802494,1798.4918276070994,4415.246082041604
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,5.610210424894963,1.2586206896551724,1.7380952380952381,1.3571428571428572,171,6.668148722113009,1821.7497027643356,5837.784970302693
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,5.303744009152516,2.5555555555555554,2.2439024390243905,0.8536585365853658,167,8.860252394339376,1781.6929028252587,4437.821737437612
